Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-05-22;884,80;885,00;878,80;886,00;875,40;885,60;883,764;207252;183157408,39;3276;
2019-05-21;877,00;877,80;880,00;885,20;875,00;875,00;878,555;268474;235894264,24;3842;
2019-05-20;879,40;879,80;886,00;886,00;877,40;880,00;880,437;288928;254379633,68;4750;
2019-05-16;883,40;884,00;881,40;885,60;878,80;881,40;881,672;405014;357086230,63;5589;
2019-05-15;879,60;880,00;880,00;888,80;875,60;880,00;881,977;285264;251610964,32;4368;
2019-05-14;872,20;872,80;873,80;873,80;869,00;872,80;871,81;177770;154978668,03;2886;
2019-05-13;871,00;871,40;870,80;876,80;869,00;872,80;871,792;149351;130198992,23;2541;
2019-05-10;872,40;872,80;871,00;876,40;869,80;874,40;873,499;154429;134888391,73;2304;
2019-05-09;874,00;874,80;871,40;882,60;871,20;875,40;877,184;250741;219950021,25;3695;
2019-05-08;872,80;873,20;866,80;874,40;865,80;873,60;871,589;212578;185269140,96;2846;
2019-05-07;869,80;870,40;871,00;878,60;868,40;868,40;872,26;313073;273101250,05;4213;
2019-05-06;870,00;870,40;866,80;871,40;866,00;869,60;868,682;136953;118966659,23;2200;
2019-05-03;875,60;876,00;864,40;876,00;860,60;875,40;872,345;227547;198494496,55;3525;
2019-05-02;861,80;862,00;875,00;881,00;857,20;858,60;862,786;392066;338386230,22;4862;
2019-05-01;865,80;867,00;866,80;872,60;861,20;872,60;868,681;85448;74205348,66;1118;
2019-04-30;862,00;862,60;865,40;865,40;857,60;859,80;860,50;276431;237869722,64;5027;
2019-04-29;859,60;860,00;864,60;864,60;853,00;862,80;859,616;234586;201638811,2;3510;
2019-04-26;861,60;862,00;853,80;864,00;849,00;864,00;859,646;297767;255950288,33;4407;
2019-04-25;843,60;843,80;852,80;852,80;842,00;842,20;844,967;250640;211806382,02;3825;
2019-04-24;850,00;850,40;841,20;851,60;841,20;850,20;848,646;345666;293345150,3;5427;
2019-04-23;847,20;847,60;842,00;849,40;838,20;848,40;845,235;390022;329632160,68;6519;
2019-04-17;841,20;841,40;850,20;850,20;836,40;840,00;839,955;424716;356738965,87;3746;
2019-04-16;847,00;847,60;858,80;858,80;845,80;847,60;849,777;312194;265308686,62;4328;
2019-04-15;854,60;855,00;847,00;856,00;845,20;856,00;852,891;218479;186322095,68;3216;
